path,label
data/Dataset/Label_0/gaf_image_10.jpg,0
data/Dataset/Label_0/gaf_image_100.jpg,0
data/Dataset/Label_0/gaf_image_1001.jpg,0
data/Dataset/Label_0/gaf_image_1004.jpg,0
data/Dataset/Label_0/gaf_image_1007.jpg,0
data/Dataset/Label_0/gaf_image_1009.jpg,0
data/Dataset/Label_0/gaf_image_1011.jpg,0
data/Dataset/Label_0/gaf_image_1012.jpg,0
data/Dataset/Label_0/gaf_image_1016.jpg,0
data/Dataset/Label_0/gaf_image_1018.jpg,0
data/Dataset/Label_0/gaf_image_1019.jpg,0
data/Dataset/Label_0/gaf_image_102.jpg,0
data/Dataset/Label_0/gaf_image_1020.jpg,0
data/Dataset/Label_0/gaf_image_1021.jpg,0
data/Dataset/Label_0/gaf_image_1025.jpg,0
data/Dataset/Label_0/gaf_image_1026.jpg,0
data/Dataset/Label_0/gaf_image_480.jpg,0
data/Dataset/Label_0/gaf_image_4802.jpg,0
data/Dataset/Label_0/gaf_image_4808.jpg,0
data/Dataset/Label_0/gaf_image_4812.jpg,0
data/Dataset/Label_0/gaf_image_4816.jpg,0
data/Dataset/Label_0/gaf_image_4818.jpg,0
data/Dataset/Label_0/gaf_image_4819.jpg,0
data/Dataset/Label_0/gaf_image_482.jpg,0
data/Dataset/Label_0/gaf_image_4820.jpg,0
data/Dataset/Label_0/gaf_image_4821.jpg,0
data/Dataset/Label_0/gaf_image_4823.jpg,0
data/Dataset/Label_0/gaf_image_4824.jpg,0
data/Dataset/Label_0/gaf_image_4829.jpg,0
data/Dataset/Label_0/gaf_image_4830.jpg,0
data/Dataset/Label_0/gaf_image_4834.jpg,0
data/Dataset/Label_0/gaf_image_484.jpg,0
data/Dataset/Label_0/gaf_image_1330.jpg,0
data/Dataset/Label_0/gaf_image_1332.jpg,0
data/Dataset/Label_0/gaf_image_1333.jpg,0
data/Dataset/Label_0/gaf_image_1334.jpg,0
data/Dataset/Label_0/gaf_image_1338.jpg,0
data/Dataset/Label_0/gaf_image_1340.jpg,0
data/Dataset/Label_0/gaf_image_1343.jpg,0
data/Dataset/Label_0/gaf_image_1344.jpg,0
data/Dataset/Label_0/gaf_image_1345.jpg,0
